Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipadflat_office1.wav.png,0.50146
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_iphone_bedroom1.wav.png,0.5518375
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipad_office1.wav.png,0.91393
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipad_office2.wav.png,0.5508625
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipadflat_confroom1.wav.png,0.5508025
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_iphone_balcony1.wav.png,0.43732000000000004
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_iphone_bedroom1.wav.png,0.5662425
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipad_balcony1.wav.png,0.3933575
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipadflat_confroom1.wav.png,0.552655
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipad_bedroom1.wav.png,0.558975
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_iphone_balcony1.wav.png,0.431855
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_livingroom1.wav.png,0.5477675
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_iphone_livingroom1.wav.png,0.7911775
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_iphone_balcony1.wav.png,0.42608
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipad_bedroom1.wav.png,0.5798625
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipadflat_confroom1.wav.png,0.87543
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_ipad_office2.wav.png,0.5512475
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_iphone_bedroom1.wav.png,0.57518
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipad_livingroom1.wav.png,0.585935
